starvation_correct,trial_correct,i3S,coral_cam,Kilo_cam,Exp_n,Cage,date_cuno_in,time_cuno_in,ray1,ray2,cuno_size,cuno_location_found,grid,cuno_depth,color,tag_n,used,days_starved,date_coral_in,time_coral_in,date_finish,time_finish,trial_length,combo_specific_spp,combo_general_spp,coral_n,coral_spp_PISFC,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,p_alive_start_1,symbionts_1,p_alive_end_1,p_consumed_1,ranking_coral,rank_n,ate,N_eaten,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,order determined with video?,evidence from video,number of videos spent eating,date/time start eating,coral.visited.first,visited.coral.ate.first,comments
Y,N,Y,N,Y,143,C156,9/14/2022,1:45:00 PM,10.5,11,14,Dagger,F7,32,yellow/brown,PIC_144,N,7,9/21/2022,12:50:00 PM,9/30/2022,11:05:00 AM,9,MPAT_FSCU,MPAT_FSCU,2,MPAT,MPAT,SOUTH,EF,16,10,3,15,0,0,100,FIRST,2,YES,one,MPAT,,FSCU,,ate one,ate on kilo cam,49 pics,9/26 @ 6am-7pm,no.video,no.video,
Y,N,Y,N,Y,144,C162,9/14/2022,1:45:00 PM,10,10,15,East of Anchor,C14,45,yellow/brown,PIC_62,N,7,9/21/2022,1:00:00 PM,9/30/2022,11:10:00 AM,9,PCOM_FSCU,PCOM_FSCU,1,FSCU,FSCU,NORTH,FR,7,4.5,1,100,0,100,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,N/A,N/A,
Y,N,Y,N,Y,144,C162,9/14/2022,1:45:00 PM,10,10,15,East of Anchor,C14,45,yellow/brown,PIC_62,N,7,9/21/2022,1:00:00 PM,9/30/2022,11:10:00 AM,9,PCOM_FSCU,PCOM_FSCU,2,PCOM,PCOM,SOUTH,KN,9,6,9,20,0,20,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,N/A,N/A,
N,N,Y,N,N,145,C161,9/21/2022,10:20:00 AM,11,12,17,Trios,M11,30,yellow/brown,PIC_145,N,0,9/21/2022,10:57:00 AM,9/30/2022,11:15:00 AM,9,PCOM_FSCU,PCOM_FSCU,1,FSCU,FSCU,NORTH,FR,9,6.5,2,100,0,100,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,N/A,N/A,
N,N,Y,N,Y,145,C161,9/21/2022,10:20:00 AM,11,12,17,Trios,M11,30,yellow/brown,PIC_145,N,0,9/21/2022,10:57:00 AM,9/30/2022,11:15:00 AM,9,PCOM_FSCU,PCOM_FSCU,2,PCOM,PCOM,SOUTH,KN,9,8.5,11,75,0,75,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,N/A,N/A,
N,N,Y,N,N,146,C163,9/21/2022,1:10:00 PM,12,13,19,Trios,K12,29,yellow/brown,PIC_78,PIC_78,9,9/30/2022,11:51:00 AM,10/5/2022,1:16:00 PM,5,MPAT_PDUE,MPAT_PDUE,1,PDUE,PDUE,NORTH,ML,5.5,6,4,80,0,80,0,NOT_EATEN,0,NO,none,,,PDUE,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,146,C163,9/21/2022,1:10:00 PM,12,13,19,Trios,K12,29,yellow/brown,PIC_78,PIC_78,9,9/30/2022,11:51:00 AM,10/5/2022,1:16:00 PM,5,MPAT_PDUE,MPAT_PDUE,2,MPAT,MPAT,SOUTH,EF,8.5,8,3,20,0,20,0,NOT_EATEN,0,NO,none,,,PDUE,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,Y,Y,147,C157,9/21/2022,1:10:00 PM,11,11,16,Trios,K12,29,orange/yellow,PIC_123,N,9,9/30/2022,11:58:00 AM,10/5/2022,1:20:00 PM,5,MPAT_FSCU,MPAT_FSCU,1,MPAT,MPAT,NORTH,EF,17,12,18,90,0,90,0,NOT_EATEN,0,NO,none,,,MPAT,FSCU,didn't eat,N/A,N/A,N/A,FSCU,didnt.eat,
N,N,Y,Y,Y,147,C157,9/21/2022,1:10:00 PM,11,11,16,Trios,K12,29,orange/yellow,PIC_123,N,9,9/30/2022,11:58:00 AM,10/5/2022,1:20:00 PM,5,MPAT_FSCU,MPAT_FSCU,2,FSCU,FSCU,SOUTH,FR,13.5,10,2.5,95,0,95,0,NOT_EATEN,0,NO,none,,,MPAT,FSCU,didn't eat,N/A,N/A,N/A,FSCU,didnt.eat,
N,N,Y,Y,Y,148,C156,9/21/2022,1:10:00 PM,11.5,11.5,16,Trios,K11,28,yellow/red,PIC_136,PIC_136,9,9/30/2022,1:46:00 PM,10/5/2022,1:23:00 PM,5,PCOM_FSCU,PCOM_FSCU,1,FSCU,FSCU,NORTH,FR,10,7.5,2,90,0,90,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,FSCU,didnt.eat,
N,N,Y,Y,Y,148,C156,9/21/2022,1:10:00 PM,11.5,11.5,16,Trios,K11,28,yellow/red,PIC_136,PIC_136,9,9/30/2022,1:46:00 PM,10/5/2022,1:23:00 PM,5,PCOM_FSCU,PCOM_FSCU,2,PCOM,PCOM,SOUTH,KN,18,12,13,60,0,60,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,FSCU,didnt.eat,
N,N,Y,Y,Y,149,C162,9/21/2022,1:10:00 PM,13,12.5,22,Trios,M11,28,green/yellow/brown,PIC_146,N,9,9/30/2022,1:52:00 PM,10/5/2022,1:28:00 PM,5,MPAT_FSCU,MPAT_FSCU,1,MPAT,MPAT,NORTH,EF,16,8,8,15,0,15,0,NOT_EATEN,0,NO,one,FSCU,,MPAT,,ate one,N/A,N/A,N/A,FSCU,Y,
N,N,Y,Y,Y,149,C162,9/21/2022,1:10:00 PM,13,12.5,22,Trios,M11,28,green/yellow/brown,PIC_146,N,9,9/30/2022,1:52:00 PM,10/5/2022,1:28:00 PM,5,MPAT_FSCU,MPAT_FSCU,2,FSCU,FSCU,SOUTH,FR,9,6,3,90,0,0,100,FIRST,2,YES,one,FSCU,,MPAT,,ate one,ate on kilo cam,48 pics,10/3 @ 6am-7pm,FSCU,Y,
N,N,Y,N,N,150,C161,9/21/2022,1:10:00 PM,12,13,20,Trios,K12,29,yellow/brown/blue,PIC_92,PIC_92,9,9/30/2022,2:04:00 PM,10/5/2022,1:33:00 PM,5,PLOB_FSCU,PLOB_FSCU,1,PLOB,PORM,NORTH,MD,9,8,4,40,0,30,25,FIRST,2,YES,both,PLOB,FSCU,,,Y,ate FSCU on last day/night,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,150,C161,9/21/2022,1:10:00 PM,12,13,20,Trios,K12,29,yellow/brown/blue,PIC_92,PIC_92,9,9/30/2022,2:04:00 PM,10/5/2022,1:33:00 PM,5,PLOB_FSCU,PLOB_FSCU,2,FSCU,FSCU,SOUTH,FR,12,8,2.5,90,0,0,100,SECOND,1,YES,both,PLOB,FSCU,,,Y,ate on kilo cam,48 pics,10/4 @ 6am-7pm,no.video,no.video,
Y,Y,Y,N,Y,151,C163,10/5/2022,3:40:00 PM,11.5,11,17,East of Anchor,E11,38,green/brown,PIC_114,PIC_114,7,10/12/2022,2:10:00 PM,10/19/2022,1:20:00 PM,7,PLOB_FSCU,PLOB_FSCU,1,PLOB,PORM,NORTH,MD,13,11,14,75,0,75,0,NOT_EATEN,0,NO,none,,,PLOB,FSCU,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,151,C163,10/5/2022,3:40:00 PM,11.5,11,17,East of Anchor,E11,38,green/brown,PIC_114,PIC_114,7,10/12/2022,2:10:00 PM,10/19/2022,1:20:00 PM,7,PLOB_FSCU,PLOB_FSCU,2,FSCU,FSCU,SOUTH,FR,14.5,11,4,90,0,90,0,NOT_EATEN,0,NO,none,,,PLOB,FSCU,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,152,C157,10/5/2022,3:40:00 PM,12.5,12,19,East of Anchor,D13,44,red/yellow,PIC_141,PIC_141,7,10/12/2022,2:06:00 PM,10/19/2022,1:23:00 PM,7,MPAT_FSCU,MPAT_FSCU,1,MPAT,MPAT,NORTH,EF,16,13,5,40,0,5,87.5,FIRST,2,YES,both,MPAT,FSCU,,,Y,coral went from color to white from 10/12-10/13,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,152,C157,10/5/2022,3:40:00 PM,12.5,12,19,East of Anchor,D13,44,red/yellow,PIC_141,PIC_141,7,10/12/2022,2:06:00 PM,10/19/2022,1:23:00 PM,7,MPAT_FSCU,MPAT_FSCU,2,FSCU,FSCU,SOUTH,FR,10,8.5,2.5,95,0,5,94.74,SECOND,1,YES,both,MPAT,FSCU,,,Y,ate on kilo cam,47 pics,10/15 @ 6am-7pm,no.video,no.video,
Y,Y,Y,N,Y,153,C156,10/5/2022,3:40:00 PM,12,12,19,East of Anchor,D13,43,yellow,PIC_29,PIC_29,7,10/12/2022,1:57:00 PM,10/19/2022,1:27:00 PM,7,PCOM_FSCU,PCOM_FSCU,1,FSCU,FSCU,NORTH,FR,8.5,6,2,95,0,95,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,153,C156,10/5/2022,3:40:00 PM,12,12,19,East of Anchor,D13,43,yellow,PIC_29,PIC_29,7,10/12/2022,1:57:00 PM,10/19/2022,1:27:00 PM,7,PCOM_FSCU,PCOM_FSCU,2,PCOM,PCOM,SOUTH,KN,10,10,9.5,80,0,80,0,NOT_EATEN,0,NO,none,,,FSCU,PCOM,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,154,C162,10/5/2022,3:40:00 PM,11,12,17,East of Anchor,E12,40,yellow/brown,PIC_148,N,7,10/12/2022,1:50:00 PM,10/19/2022,1:31:00 PM,7,PLOB_FSCU,PLOB_FSCU,1,FSCU,FSCU,NORTH,FR,10,7,3,100,0,0,100,FIRST,2,YES,both,FSCU,PLOB,,,Y,ate on kilo cam,47 pics,10/14 @ 6am-7pm,no.video,no.video,
Y,Y,Y,N,Y,154,C162,10/5/2022,3:40:00 PM,11,12,17,East of Anchor,E12,40,yellow/brown,PIC_148,N,7,10/12/2022,1:50:00 PM,10/19/2022,1:31:00 PM,7,PLOB_FSCU,PLOB_FSCU,2,PLOB,PORM,SOUTH,MD,19,13,8,35,0,10,71.43,SECOND,1,YES,both,FSCU,PLOB,,,Y,ate on kilo cam,25 pics,10/17 @ 6am-12pm,no.video,no.video,
Y,Y,Y,N,Y,155,C161,10/5/2022,3:40:00 PM,11,11,16,East of Anchor,F10,37,orange/brown,PIC_138,PIC_138,7,10/12/2022,1:45:00 PM,10/19/2022,1:35:00 PM,7,PLOB_FSCU,PLOB_FSCU,1,PLOB,PORM,NORTH,MD,14,13,5,25,0,25,0,NOT_EATEN,0,NO,one,FSCU,,PLOB,,ate one,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,155,C161,10/5/2022,3:40:00 PM,11,11,16,East of Anchor,F10,37,orange/brown,PIC_138,PIC_138,7,10/12/2022,1:45:00 PM,10/19/2022,1:35:00 PM,7,PLOB_FSCU,PLOB_FSCU,2,FSCU,FSCU,SOUTH,FR,11,7.5,3,80,0,0,100,FIRST,2,YES,one,FSCU,,PLOB,,ate one,ate on kilo cam,48 pics,10/13 @ 6am-7pm,no.video,no.video,
Y,Y,Y,Y,Y,156,C163,10/12/2022,12:14:00 PM,10.5,10.5,18,East of Anchor,G10,36,yellow/brown,PIC_151,N,7,10/19/2022,2:05:00 PM,10/26/2022,1:00:00 PM,7,MCAP_MPAT,MCAP_MPAT,1,MCAP,MCAP,NORTH,EF,12,11.5,7.5,40,0,0,100,SECOND,1,YES,both,MPAT,MCAP,,,Y,coral went from color to white from 10/21-10/22,N/A,N/A,MPAT,Y,
Y,Y,Y,Y,Y,156,C163,10/12/2022,12:14:00 PM,10.5,10.5,18,East of Anchor,G10,36,yellow/brown,PIC_151,N,7,10/19/2022,2:05:00 PM,10/26/2022,1:00:00 PM,7,MCAP_MPAT,MCAP_MPAT,2,MPAT,MPAT,SOUTH,EF,8.5,5.5,3.5,20,0,0,100,FIRST,2,YES,both,MPAT,MCAP,,,Y,coral went from color to white from 10/19-10/20,N/A,N/A,MPAT,Y,
Y,Y,Y,Y,Y,157,C157,10/12/2022,12:14:00 PM,11,11.5,17,East of Anchor,E11,36,yellow/brown,PIC_152,N,7,10/19/2022,2:15:00 PM,10/26/2022,1:07:00 PM,7,LESP_PMEA,LESP_PMEA,1,LESP,LESP,NORTH,EF,19,16,8,40,0,40,0,NOT_EATEN,0,NO,one,PMEA,,LESP,,ate one,N/A,N/A,N/A,PMEA,Y,
Y,Y,Y,Y,Y,157,C157,10/12/2022,12:14:00 PM,11,11.5,17,East of Anchor,E11,36,yellow/brown,PIC_152,N,7,10/19/2022,2:15:00 PM,10/26/2022,1:07:00 PM,7,LESP_PMEA,LESP_PMEA,2,PMEA,POSP,SOUTH,BR,15.5,9,13,95,0,0,100,FIRST,2,YES,one,PMEA,,LESP,,ate one,ate on kilo cam,12 pics,10/20 @ 6am-8:45am,PMEA,Y,
Y,Y,Y,Y,Y,158,C156,10/12/2022,12:14:00 PM,11.5,11.5,19,Dagger,F6,31,yellow/brown,PIC_150,N,7,10/19/2022,4:16:00 PM,10/26/2022,1:15:00 PM,7,PVAR_PMEA,PVAR_PMEA,1,PVAR,PVAR,NORTH,EF,12,7,6,40,0,0,100,SECOND,1,YES,both,PMEA,PVAR,,,Y,ate on kilo cam,43 pics,10/22 @ 6am-4:15pm,PMEA,Y,
Y,Y,Y,Y,Y,158,C156,10/12/2022,12:14:00 PM,11.5,11.5,19,Dagger,F6,31,yellow/brown,PIC_150,N,7,10/19/2022,4:16:00 PM,10/26/2022,1:15:00 PM,7,PVAR_PMEA,PVAR_PMEA,2,PMEA,POSP,SOUTH,BR,9,7.5,4,90,0,0,100,FIRST,2,YES,both,PMEA,PVAR,,,Y,coral went from color to white from 10/19-10/20,N/A,N/A,PMEA,Y,
Y,Y,Y,Y,Y,159,C162,10/12/2022,12:14:00 PM,12,12.5,19,Dagger,G6,28,purple/light blue,PIC_119,PIC_119,7,10/19/2022,4:28:00 PM,10/26/2022,1:19:00 PM,7,PLOB_FSCU,PLOB_FSCU,1,PLOB,PORM,NORTH,MD,9,7,5,80,0,80,0,NOT_EATEN,0,NO,none,,,PLOB,FSCU,didn't eat,N/A,N/A,N/A,PLOB,didnt.eat,
Y,Y,Y,Y,Y,159,C162,10/12/2022,12:14:00 PM,12,12.5,19,Dagger,G6,28,purple/light blue,PIC_119,PIC_119,7,10/19/2022,4:28:00 PM,10/26/2022,1:19:00 PM,7,PLOB_FSCU,PLOB_FSCU,2,FSCU,FSCU,SOUTH,FR,9,6.5,2,95,0,95,0,NOT_EATEN,0,NO,none,,,PLOB,FSCU,didn't eat,N/A,N/A,N/A,PLOB,didnt.eat,
Y,Y,Y,N,Y,160,C161,10/12/2022,12:14:00 PM,13,12.5,17,East of Anchor,G10,36,yellow/brown,PIC_69,N,7,10/19/2022,4:34:00 PM,10/26/2022,1:24:00 PM,7,MPAT_PVAR,MPAT_PVAR,1,PVAR,PVAR,NORTH,EF,6,5,5.5,15,0,15,0,NOT_EATEN,0,NO,one,MPAT,,PVAR,,ate one,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,160,C161,10/12/2022,12:14:00 PM,13,12.5,17,East of Anchor,G10,36,yellow/brown,PIC_69,N,7,10/19/2022,4:34:00 PM,10/26/2022,1:24:00 PM,7,MPAT_PVAR,MPAT_PVAR,2,MPAT,MPAT,SOUTH,EF,6.5,4,4.5,75,0,0,100,FIRST,2,YES,one,MPAT,,PVAR,,ate one,ate on kilo cam,31 pics,10/23 @ 6am-3:30pm,no.video,no.video,
Y,Y,Y,N,Y,161,C163,11/16/2022,1:30:00 PM,13,12,20,East of Anchor,E11,40,yellow/black,PIC_154,N,7,11/23/2022,12:47:00 PM,11/30/2022,10:26:00 AM,7,PLOB_MCAP,PLOB_MCAP,1,MCAP,MCAP,NORTH,EF,20,18,10,50,0,50,0,NOT_EATEN,0,NO,none,,,MCAP,PLOB,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,161,C163,11/16/2022,1:30:00 PM,13,12,20,East of Anchor,E11,40,yellow/black,PIC_154,N,7,11/23/2022,12:47:00 PM,11/30/2022,10:26:00 AM,7,PLOB_MCAP,PLOB_MCAP,2,PLOB,PORM,SOUTH,MD,14,12,12,80,0,80,0,NOT_EATEN,0,NO,none,,,MCAP,PLOB,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,162,C157,11/16/2022,1:30:00 PM,11,12,18,East of Anchor,D13,42,yellow/black,PIC_139,N,7,11/23/2022,12:57:00 PM,11/30/2022,10:30:00 AM,7,PDUE_PMEA,PDUE_PMEA,1,PMEA,POSP,NORTH,BR,12.5,16,7,85,0,85,0,NOT_EATEN,0,NO,none,,,PMEA,PDUE,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,162,C157,11/16/2022,1:30:00 PM,11,12,18,East of Anchor,D13,42,yellow/black,PIC_139,N,7,11/23/2022,12:57:00 PM,11/30/2022,10:30:00 AM,7,PDUE_PMEA,PDUE_PMEA,2,PDUE,PDUE,SOUTH,ML,11.5,8,12,30,0,30,0,NOT_EATEN,0,NO,none,,,PMEA,PDUE,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,N,163,C156,11/16/2022,1:30:00 PM,10.5,10.5,17,East of Anchor,D13,42,yellow/brown,PIC_155,N,7,11/23/2022,1:10:00 PM,11/30/2022,10:35:00 AM,7,LESP_MPAT,LESP_MPAT,1,MPAT,MPAT,NORTH,EF,18,13,9,20,0,20,0,NOT_EATEN,0,NO,none,,,MPAT,LESP,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,163,C156,11/16/2022,1:30:00 PM,10.5,10.5,17,East of Anchor,D13,42,yellow/brown,PIC_155,N,7,11/23/2022,1:10:00 PM,11/30/2022,10:35:00 AM,7,LESP_MPAT,LESP_MPAT,2,LESP,LESP,SOUTH,EF,12,8,10,45,0,45,0,NOT_EATEN,0,NO,none,,,MPAT,LESP,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,164,C162,11/16/2022,1:30:00 PM,10.5,11,17,East of Anchor,E11,40,green/orange/blue,PIC_153,N,7,11/23/2022,2:48:00 PM,11/30/2022,10:37:00 AM,7,MPAT_PDUE,MPAT_PDUE,1,MPAT,MPAT,NORTH,EF,15,8,7.5,15,0,15,0,NOT_EATEN,0,NO,none,,,MPAT,PDUE,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,164,C162,11/16/2022,1:30:00 PM,10.5,11,17,East of Anchor,E11,40,green/orange/blue,PIC_153,N,7,11/23/2022,2:48:00 PM,11/30/2022,10:37:00 AM,7,MPAT_PDUE,MPAT_PDUE,2,PDUE,PDUE,SOUTH,ML,6,4.5,3,80,0,80,0,NOT_EATEN,0,NO,none,,,MPAT,PDUE,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,165,C161,11/16/2022,1:30:00 PM,13.5,13,21,East of Anchor,E11,40,yellow/orange,PIC_30,PIC_30,7,11/23/2022,3:02:00 PM,11/30/2022,10:41:00 AM,7,PVAR_PMEA,PVAR_PMEA,1,PMEA,POSP,NORTH,BR,5,4,4,75,0,75,0,NOT_EATEN,0,NO,none,,,PMEA,PVAR,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,N,165,C161,11/16/2022,1:30:00 PM,13.5,13,21,East of Anchor,E11,40,yellow/orange,PIC_30,PIC_30,7,11/23/2022,3:02:00 PM,11/30/2022,10:41:00 AM,7,PVAR_PMEA,PVAR_PMEA,2,PVAR,PVAR,SOUTH,EF,5.5,3,6,15,0,15,0,NOT_EATEN,0,NO,none,,,PMEA,PVAR,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,Y,Y,Y,Y,166,C163,11/27/2022,3:00:00 PM,13,13,22,Dagger,G4,31,yellow/brown,N044,N044,3,11/30/2022,12:56:00 PM,12/7/2022,12:17:00 PM,7,PDUE_PMEA,PDUE_PMEA,1,PMEA,POSP,NORTH,BR,5,4,4,90,0,0,100,FIRST,2,YES,both,PMEA,PDUE,,,Y,coral went from color to white from 12/1 to 12/2,N/A,N/A,PDUE,N,
N,Y,Y,Y,Y,166,C163,11/27/2022,3:00:00 PM,13,13,22,Dagger,G4,31,yellow/brown,N044,N044,3,11/30/2022,12:56:00 PM,12/7/2022,12:17:00 PM,7,PDUE_PMEA,PDUE_PMEA,2,PDUE,PDUE,SOUTH,ML,4.5,4,1.5,50,0,0,100,SECOND,1,YES,both,PMEA,PDUE,,,Y,ate on kilo cam,26 pics,12/2 @6am-12:15,PDUE,N,
N,Y,Y,Y,Y,167,C157,11/27/2022,3:00:00 PM,11.5,11.5,18,East of Anchor,E11,40,yellow/blue,PIC_159,N,3,11/30/2022,1:02:00 PM,12/7/2022,12:27:00 PM,7,PGRA_PVAR,PVAR_PMEA,1,PGRA,POSP,NORTH,BR,5.5,1.5,12.5,85,0,0,100,SECOND,1,YES,both,PVAR,PMEA,,,Y,coral went from color to white from 12/1 to 12/2,N/A,N/A,video.cant.tell,video.cant.tell,
N,Y,Y,Y,Y,167,C157,11/27/2022,3:00:00 PM,11.5,11.5,18,East of Anchor,E11,40,yellow/blue,PIC_159,N,3,11/30/2022,1:02:00 PM,12/7/2022,12:27:00 PM,7,PGRA_PVAR,PVAR_PMEA,2,PVAR,PVAR,SOUTH,EF,7,3.5,4,40,0,0,100,FIRST,2,YES,both,PVAR,PMEA,,,Y,coral went from color to white from 11/30 to 12/1,N/A,N/A,video.cant.tell,video.cant.tell,
N,Y,Y,Y,Y,168,C156,11/27/2022,3:00:00 PM,12,12,19,East of Anchor,E11,38,yellow/black,PIC_102,PIC_102,3,11/30/2022,11:25:00 AM,12/7/2022,12:55:00 PM,7,PCOM_FSCU,PCOM_FSCU,1,PCOM,PCOM,SOUTH,KN,11,10,12,80,0,80,0,NOT_EATEN,0,NO,none,,,PCOM,FSCU,didn't eat,N/A,N/A,N/A,N/A,N/A,
N,Y,Y,Y,N,168,C156,11/27/2022,3:00:00 PM,12,12,19,East of Anchor,E11,38,yellow/black,PIC_102,PIC_102,3,11/30/2022,11:25:00 AM,12/7/2022,12:55:00 PM,7,PCOM_FSCU,PCOM_FSCU,2,FSCU,FSCU,NORTH,FR,10,13,4,90,0,90,0,NOT_EATEN,0,NO,none,,,PCOM,FSCU,didn't eat,N/A,N/A,N/A,N/A,N/A,
Y,Y,Y,N,Y,169,C162,11/23/2022,3:00:00 PM,12,12,16,Back 40,C6,38,yellow/red,PIC_158,N,7,11/30/2022,1:20:00 PM,12/7/2022,2:20:00 PM,7,PCOM_MPAT,PCOM_MPAT,1,PCOM,PCOM,NORTH,KN,10.5,11,10,20,0,20,0,NOT_EATEN,0,NO,none,,,PCOM,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,169,C162,11/23/2022,3:00:00 PM,12,12,16,Back 40,C6,38,yellow/red,PIC_158,N,7,11/30/2022,1:20:00 PM,12/7/2022,2:20:00 PM,7,PCOM_MPAT,PCOM_MPAT,2,MPAT,MPAT,SOUTH,EF,12,9,6.5,15,0,15,0,NOT_EATEN,0,NO,none,,,PCOM,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,Y,Y,N,Y,170,C161,11/27/2022,3:00:00 PM,13,13,17,East of Anchor,F10,38,yellow,PIC_78,PIC_78,3,11/30/2022,1:30:00 PM,12/7/2022,2:30:00 PM,7,LESP_MPAT,LESP_MPAT,1,LESP,LESP,NORTH,EF,18,16,9,15,0,15,0,NOT_EATEN,0,NO,none,,,LESP,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,Y,Y,N,Y,170,C161,11/27/2022,3:00:00 PM,13,13,17,East of Anchor,F10,38,yellow,PIC_78,PIC_78,3,11/30/2022,1:30:00 PM,12/7/2022,2:30:00 PM,7,LESP_MPAT,LESP_MPAT,2,MPAT,MPAT,SOUTH,EF,18.5,13,9,15,0,15,0,NOT_EATEN,0,NO,none,,,LESP,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
